Name;Trace_id;Point_id;Start_x;Start_y;Start_z;End_x;End_y;End_z;Cost;Cost_Mode
measurements.Trace;239;127;790450;7.26496e+06;-59.6255;790450;7.26496e+06;-59.6338;94;4
measurements.Trace;239;128;790450;7.26496e+06;-59.6338;790450;7.26496e+06;-59.639;125;4
measurements.Trace;239;129;790450;7.26496e+06;-59.639;790450;7.26496e+06;-59.667;151;4
measurements.Trace;239;130;790450;7.26496e+06;-59.667;790450;7.26496e+06;-59.6906;113;4
measurements.Trace;239;131;790450;7.26496e+06;-59.6906;790450;7.26496e+06;-59.7218;75;4
measurements.Trace;239;132;790450;7.26496e+06;-59.7218;790450;7.26496e+06;-59.7223;153;4
measurements.Trace;239;133;790450;7.26496e+06;-59.7223;790450;7.26496e+06;-59.7404;124;4
measurements.Trace;239;134;790450;7.26496e+06;-59.7404;790450;7.26496e+06;-59.7685;65;4
measurements.Trace;239;135;790450;7.26496e+06;-59.7685;790450;7.26496e+06;-59.7745;100;4
measurements.Trace;239;136;790450;7.26496e+06;-59.7745;790450;7.26496e+06;-59.7788;88;4
measurements.Trace;239;137;790450;7.26496e+06;-59.7788;790450;7.26496e+06;-59.8033;195;4
measurements.Trace;239;138;790450;7.26496e+06;-59.8033;790450;7.26496e+06;-59.8139;133;4
measurements.Trace;239;139;790450;7.26496e+06;-59.8139;790450;7.26496e+06;-59.8211;140;4
measurements.Trace;239;140;790450;7.26496e+06;-59.8211;790450;7.26496e+06;-59.827;135;4
measurements.Trace;239;141;790450;7.26496e+06;-59.827;790450;7.26496e+06;-59.833;149;4
measurements.Trace;239;142;790450;7.26496e+06;-59.833;790450;7.26496e+06;-59.8602;99;4
measurements.Trace;239;143;790450;7.26496e+06;-59.8602;790450;7.26496e+06;-59.8759;73;4
measurements.Trace;239;144;790450;7.26496e+06;-59.8759;790450;7.26496e+06;-59.9012;136;4
measurements.Trace;239;145;790450;7.26496e+06;-59.9012;790450;7.26496e+06;-59.8985;185;4
measurements.Trace;239;146;790450;7.26496e+06;-59.8985;790450;7.26496e+06;-59.9164;175;4
measurements.Trace;239;147;790450;7.26496e+06;-59.9164;790450;7.26496e+06;-59.937;85;4
measurements.Trace;239;148;790450;7.26496e+06;-59.937;790450;7.26496e+06;-59.9247;198;4
measurements.Trace;239;149;790450;7.26496e+06;-59.9247;790450;7.26496e+06;-59.936;139;4
measurements.Trace;239;150;790450;7.26496e+06;-59.936;790450;7.26496e+06;-59.9338;120;4
measurements.Trace;239;151;790450;7.26496e+06;-59.9338;790450;7.26496e+06;-59.9351;171;4
measurements.Trace;239;152;790450;7.26496e+06;-59.9351;790450;7.26496e+06;-59.936;276;4
measurements.Trace;239;153;790450;7.26496e+06;-59.936;790450;7.26496e+06;-59.9225;106;4
measurements.Trace;239;154;790450;7.26496e+06;-59.9225;790450;7.26496e+06;-59.9011;181;4
measurements.Trace;239;155;790450;7.26496e+06;-59.9011;790450;7.26496e+06;-59.8903;181;4
measurements.Trace;239;156;790450;7.26496e+06;-59.8903;790450;7.26496e+06;-59.902;82;4
measurements.Trace;239;157;790450;7.26496e+06;-59.902;790450;7.26496e+06;-59.9171;132;4
measurements.Trace;239;158;790450;7.26496e+06;-59.9171;790450;7.26496e+06;-59.9176;161;4
measurements.Trace;239;159;790450;7.26496e+06;-59.9176;790450;7.26496e+06;-59.8922;254;4
measurements.Trace;239;160;790450;7.26496e+06;-59.8922;790450;7.26496e+06;-59.8743;297;4
measurements.Trace;239;161;790450;7.26496e+06;-59.8743;790450;7.26496e+06;-59.8449;382;4
measurements.Trace;241;0;790450;7.26497e+06;-56.4101;790450;7.26497e+06;-56.4101;505;4
measurements.Trace;241;1;790450;7.26497e+06;-56.4101;790450;7.26497e+06;-56.4483;466;4
measurements.Trace;241;2;790450;7.26497e+06;-56.4483;790450;7.26497e+06;-56.4822;494;4
measurements.Trace;241;3;790450;7.26497e+06;-56.4822;790450;7.26497e+06;-56.5161;516;4
measurements.Trace;241;4;790450;7.26497e+06;-56.5161;790450;7.26497e+06;-56.5499;534;4
measurements.Trace;241;5;790450;7.26497e+06;-56.5499;790450;7.26497e+06;-56.5811;416;4
measurements.Trace;241;6;790450;7.26497e+06;-56.5811;790450;7.26497e+06;-56.6156;240;4
measurements.Trace;241;7;790450;7.26497e+06;-56.6156;790450;7.26497e+06;-56.6507;178;4
measurements.Trace;241;8;790450;7.26497e+06;-56.6507;790450;7.26497e+06;-56.6693;192;4
measurements.Trace;241;9;790450;7.26497e+06;-56.6693;790450;7.26497e+06;-56.7078;230;4
measurements.Trace;241;10;790450;7.26497e+06;-56.7078;790450;7.26497e+06;-56.7195;288;4
measurements.Trace;241;11;790450;7.26497e+06;-56.7195;790450;7.26497e+06;-56.7504;292;4
measurements.Trace;241;12;790450;7.26497e+06;-56.7504;790450;7.26497e+06;-56.786;311;4
measurements.Trace;241;13;790450;7.26497e+06;-56.786;790450;7.26497e+06;-56.8179;237;4
measurements.Trace;241;14;790450;7.26497e+06;-56.8179;790450;7.26497e+06;-56.8531;255;4
measurements.Trace;241;15;790450;7.26497e+06;-56.8531;790450;7.26497e+06;-56.8915;212;4
measurements.Trace;241;16;790450;7.26497e+06;-56.8915;790450;7.26497e+06;-56.9307;123;4
measurements.Trace;241;17;790450;7.26497e+06;-56.9307;790450;7.26497e+06;-56.9593;374;4
measurements.Trace;241;18;790450;7.26497e+06;-56.9593;790450;7.26497e+06;-56.994;414;4
measurements.Trace;241;19;790450;7.26497e+06;-56.994;790450;7.26497e+06;-57.033;436;4
measurements.Trace;241;20;790450;7.26497e+06;-57.033;790450;7.26497e+06;-57.0656;223;4
measurements.Trace;241;21;790450;7.26497e+06;-57.0656;790450;7.26497e+06;-57.0766;261;4
measurements.Trace;241;22;790450;7.26497e+06;-57.0766;790450;7.26497e+06;-57.1027;207;4
measurements.Trace;241;23;790450;7.26497e+06;-57.1027;790450;7.26497e+06;-57.1206;241;4
measurements.Trace;241;24;790450;7.26497e+06;-57.1206;790450;7.26497e+06;-57.1529;359;4
measurements.Trace;241;25;790450;7.26497e+06;-57.1529;790450;7.26497e+06;-57.1915;238;4
measurements.Trace;241;26;790450;7.26497e+06;-57.1915;790450;7.26497e+06;-57.2103;220;4
measurements.Trace;241;27;790450;7.26497e+06;-57.2103;790450;7.26497e+06;-57.2391;109;4
measurements.Trace;241;28;790450;7.26497e+06;-57.2391;790450;7.26497e+06;-57.2745;231;4
measurements.Trace;241;29;790450;7.26497e+06;-57.2745;790450;7.26497e+06;-57.3122;248;4
measurements.Trace;241;30;790450;7.26497e+06;-57.3122;790450;7.26497e+06;-57.3495;279;4
measurements.Trace;241;31;790450;7.26497e+06;-57.3495;790450;7.26497e+06;-57.3732;260;4
measurements.Trace;241;32;790450;7.26497e+06;-57.3732;790450;7.26497e+06;-57.4049;242;4
measurements.Trace;241;33;790450;7.26497e+06;-57.4049;790450;7.26497e+06;-57.4392;355;4
measurements.Trace;241;34;790450;7.26497e+06;-57.4392;790450;7.26497e+06;-57.4709;271;4
measurements.Trace;241;35;790450;7.26497e+06;-57.4709;790449;7.26497e+06;-57.5095;279;4
measurements.Trace;241;36;790449;7.26497e+06;-57.5095;790449;7.26497e+06;-57.5477;311;4
measurements.Trace;241;37;790449;7.26497e+06;-57.5477;790449;7.26497e+06;-57.5765;243;4
measurements.Trace;241;38;790449;7.26497e+06;-57.5765;790449;7.26497e+06;-57.6095;304;4
measurements.Trace;241;39;790449;7.26497e+06;-57.6095;790449;7.26497e+06;-57.6372;353;4
measurements.Trace;241;40;790449;7.26497e+06;-57.6372;790449;7.26497e+06;-57.6748;279;4
measurements.Trace;241;41;790449;7.26497e+06;-57.6748;790449;7.26497e+06;-57.7137;247;4
measurements.Trace;241;42;790449;7.26497e+06;-57.7137;790449;7.26497e+06;-57.7516;330;4
measurements.Trace;241;43;790449;7.26497e+06;-57.7516;790449;7.26497e+06;-57.7909;292;4
measurements.Trace;241;44;790449;7.26497e+06;-57.7909;790449;7.26497e+06;-57.8157;174;4
measurements.Trace;241;45;790449;7.26497e+06;-57.8157;790449;7.26497e+06;-57.8471;220;4
measurements.Trace;241;46;790449;7.26497e+06;-57.8471;790449;7.26497e+06;-57.8826;124;4
measurements.Trace;241;47;790449;7.26497e+06;-57.8826;790449;7.26497e+06;-57.9186;243;4
measurements.Trace;241;48;790449;7.26497e+06;-57.9186;790449;7.26497e+06;-57.9531;285;4
measurements.Trace;241;49;790449;7.26497e+06;-57.9531;790449;7.26497e+06;-57.9853;285;4
measurements.Trace;241;50;790449;7.26497e+06;-57.9853;790449;7.26497e+06;-58.018;79;4
measurements.Trace;241;51;790449;7.26497e+06;-58.018;790449;7.26497e+06;-58.0547;259;4
measurements.Trace;241;52;790449;7.26497e+06;-58.0547;790449;7.26497e+06;-58.0907;149;4
measurements.Trace;241;53;790449;7.26497e+06;-58.0907;790449;7.26497e+06;-58.1116;202;4
measurements.Trace;241;54;790449;7.26497e+06;-58.1116;790449;7.26497e+06;-58.1459;163;4
measurements.Trace;241;55;790449;7.26497e+06;-58.1459;790449;7.26497e+06;-58.1765;357;4
measurements.Trace;241;56;790449;7.26497e+06;-58.1765;790449;7.26497e+06;-58.2098;393;4
measurements.Trace;241;57;790449;7.26497e+06;-58.2098;790449;7.26497e+06;-58.2441;500;4
measurements.Trace;241;58;790449;7.26497e+06;-58.2441;790449;7.26497e+06;-58.2823;453;4
measurements.Trace;241;59;790449;7.26497e+06;-58.2823;790449;7.26497e+06;-58.3171;396;4
measurements.Trace;241;60;790449;7.26497e+06;-58.3171;790449;7.26497e+06;-58.3411;314;4
measurements.Trace;241;61;790449;7.26497e+06;-58.3411;790449;7.26497e+06;-58.3764;310;4
measurements.Trace;241;62;790449;7.26497e+06;-58.3764;790449;7.26497e+06;-58.4116;313;4
measurements.Trace;241;63;790449;7.26497e+06;-58.4116;790449;7.26497e+06;-58.4432;181;4
measurements.Trace;241;64;790449;7.26497e+06;-58.4432;790449;7.26497e+06;-58.4602;327;4
measurements.Trace;241;65;790449;7.26497e+06;-58.4602;790449;7.26497e+06;-58.4988;239;4
measurements.Trace;241;66;790449;7.26497e+06;-58.4988;790449;7.26497e+06;-58.5369;385;4
measurements.Trace;241;67;790449;7.26497e+06;-58.5369;790449;7.26497e+06;-58.5761;399;4
measurements.Trace;241;68;790449;7.26497e+06;-58.5761;790449;7.26497e+06;-58.6114;371;4
measurements.Trace;241;69;790449;7.26497e+06;-58.6114;790449;7.26497e+06;-58.6419;357;4
measurements.Trace;241;70;790449;7.26497e+06;-58.6419;790449;7.26497e+06;-58.6615;532;4
measurements.Trace;241;71;790449;7.26497e+06;-58.6615;790449;7.26497e+06;-58.6967;287;4
measurements.Trace;241;72;790449;7.26497e+06;-58.6967;790449;7.26497e+06;-58.7242;381;4
measurements.Trace;241;73;790449;7.26497e+06;-58.7242;790449;7.26497e+06;-58.7639;434;4
measurements.Trace;241;74;790449;7.26497e+06;-58.7639;790449;7.26497e+06;-58.7994;439;4
measurements.Trace;241;75;790449;7.26497e+06;-58.7994;790449;7.26497e+06;-58.8307;358;4
measurements.Trace;241;76;790449;7.26497e+06;-58.8307;790449;7.26497e+06;-58.8626;537;4
measurements.Trace;242;0;790449;7.26497e+06;-59.1409;790449;7.26497e+06;-59.1409;525;4
measurements.Trace;242;1;790449;7.26497e+06;-59.1409;790449;7.26497e+06;-59.1697;424;4
measurements.Trace;242;2;790449;7.26497e+06;-59.1697;790449;7.26497e+06;-59.2097;342;4
measurements.Trace;242;3;790449;7.26497e+06;-59.2097;790449;7.26497e+06;-59.2349;177;4
measurements.Trace;242;4;790449;7.26497e+06;-59.2349;790449;7.26497e+06;-59.2738;244;4
measurements.Trace;242;5;790449;7.26497e+06;-59.2738;790449;7.26497e+06;-59.3081;239;4
measurements.Trace;242;6;790449;7.26497e+06;-59.3081;790449;7.26497e+06;-59.3297;246;4
measurements.Trace;242;7;790449;7.26497e+06;-59.3297;790449;7.26497e+06;-59.3649;370;4
measurements.Trace;242;8;790449;7.26497e+06;-59.3649;790449;7.26497e+06;-59.3961;430;4
measurements.Trace;242;9;790449;7.26497e+06;-59.3961;790449;7.26497e+06;-59.4338;291;4
measurements.Trace;242;10;790449;7.26497e+06;-59.4338;790449;7.26497e+06;-59.4584;358;4
measurements.Trace;242;11;790449;7.26497e+06;-59.4584;790449;7.26497e+06;-59.494;340;4
measurements.Trace;242;12;790449;7.26497e+06;-59.494;790449;7.26497e+06;-59.5324;370;4
measurements.Trace;242;13;790449;7.26497e+06;-59.5324;790449;7.26497e+06;-59.5704;292;4
measurements.Trace;242;14;790449;7.26497e+06;-59.5704;790449;7.26497e+06;-59.5914;293;4
measurements.Trace;242;15;790449;7.26497e+06;-59.5914;790449;7.26497e+06;-59.629;366;4
measurements.Trace;242;16;790449;7.26497e+06;-59.629;790449;7.26497e+06;-59.6542;437;4
measurements.Trace;242;17;790449;7.26497e+06;-59.6542;790449;7.26497e+06;-59.6859;271;4
measurements.Trace;242;18;790449;7.26497e+06;-59.6859;790449;7.26497e+06;-59.7215;288;4
measurements.Trace;242;19;790449;7.26497e+06;-59.7215;790449;7.26497e+06;-59.7607;448;4
measurements.Trace;242;20;790449;7.26497e+06;-59.7607;790449;7.26497e+06;-59.7995;335;4
measurements.Trace;242;21;790449;7.26497e+06;-59.7995;790449;7.26497e+06;-59.8288;381;4
measurements.Trace;242;22;790449;7.26497e+06;-59.8288;790449;7.26497e+06;-59.8637;313;4
measurements.Trace;242;23;790449;7.26497e+06;-59.8637;790449;7.26497e+06;-59.9025;154;4
measurements.Trace;242;24;790449;7.26497e+06;-59.9025;790449;7.26497e+06;-59.9358;339;4
